count,name
1,part_column=1944-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
17,part_column=1944-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1944-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
31,part_column=1944-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1944-06FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1944-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1944-07FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1944-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1944-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
43,part_column=1944-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
101,part_column=1944-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1944-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
61,part_column=1944-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1944-11FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1944-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
23,part_column=1944-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1945-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1945-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
57,part_column=1945-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1945-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
27,part_column=1945-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1945-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1945-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1945-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
19,part_column=1945-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
17,part_column=1945-06FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1945-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
10,part_column=1945-07FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
27,part_column=1945-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1945-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1945-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1945-09FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
23,part_column=1945-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
27,part_column=1945-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
11,part_column=1945-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1945-11FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
14,part_column=1945-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
58,part_column=1945-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
9,part_column=1946-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
25,part_column=1946-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1946-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
45,part_column=1946-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1946-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1946-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1946-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1946-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
